State,Year,Quarter,Transaction_Type,Transaction_Count,Transaction_Amount
arunachal-pradesh,2021,3,Peer-to-peer payments,986088,5033603845.032885
arunachal-pradesh,2021,3,Recharge & bill payments,600102,187390578.30403775
arunachal-pradesh,2021,3,Merchant payments,314658,449869060.7842621
arunachal-pradesh,2021,3,Financial Services,1934,3348547.8272713376
arunachal-pradesh,2021,3,Others,4185,3912143.3503634185
arunachal-pradesh,2021,4,Peer-to-peer payments,1227616,6022733378.120082
arunachal-pradesh,2021,4,Recharge & bill payments,633248,207784816.33218512
arunachal-pradesh,2021,4,Merchant payments,521447,704195694.9939187
arunachal-pradesh,2021,4,Financial Services,2386,3933557.2795471298
arunachal-pradesh,2021,4,Others,5901,4862905.885615055
arunachal-pradesh,2022,1,Peer-to-peer payments,1403584,6670641250.45945
arunachal-pradesh,2022,1,Merchant payments,720803,917155358.7177179
arunachal-pradesh,2022,1,Recharge & bill payments,670576,231933129.00412333
arunachal-pradesh,2022,1,Financial Services,3053,3359625.792926075
arunachal-pradesh,2022,1,Others,6052,5002264.113148138
arunachal-pradesh,2022,2,Peer-to-peer payments,1751568,7627061474.687715
arunachal-pradesh,2022,2,Merchant payments,1108353,1255513517.3639429
arunachal-pradesh,2022,2,Recharge & bill payments,688770,241162643.19480157
arunachal-pradesh,2022,2,Financial Services,2466,4063469.0998270046
arunachal-pradesh,2022,2,Others,5768,3864269.879579009
arunachal-pradesh,2022,3,Peer-to-peer payments,1967086,7365427284.274204
arunachal-pradesh,2022,3,Merchant payments,1316326,1413247143.4889917
arunachal-pradesh,2022,3,Recharge & bill payments,649322,238448083.80779752
arunachal-pradesh,2022,3,Financial Services,1997,4763324.776043448
arunachal-pradesh,2022,3,Others,4687,3224948.7015704075
arunachal-pradesh,2022,4,Peer-to-peer payments,2251135,7768088687.67791
arunachal-pradesh,2022,4,Merchant payments,1704968,1669602212.9174638
arunachal-pradesh,2022,4,Recharge & bill payments,669151,239412553.61214688
arunachal-pradesh,2022,4,Financial Services,2617,3785469.3993366556
arunachal-pradesh,2022,4,Others,4838,4020773.8953960314
arunachal-pradesh,2023,1,Peer-to-peer payments,3879583,13170741327.0
arunachal-pradesh,2023,1,Merchant payments,2922784,2802762028.0
arunachal-pradesh,2023,1,Recharge & bill payments,1229475,409663161.0
arunachal-pradesh,2023,1,Financial Services,4142,6310412.0
arunachal-pradesh,2023,1,Others,6841,5101526.0
arunachal-pradesh,2023,2,Peer-to-peer payments,4883817,15695323405.0
arunachal-pradesh,2023,2,Merchant payments,4091876,3651614280.0
arunachal-pradesh,2023,2,Recharge & bill payments,1374689,447452168.0
arunachal-pradesh,2023,2,Financial Services,3392,5815474.0
arunachal-pradesh,2023,2,Others,6714,5493337.0
arunachal-pradesh,2023,3,Peer-to-peer payments,5889357,16351752522.0
arunachal-pradesh,2023,3,Merchant payments,5451474,4277046551.0
arunachal-pradesh,2023,3,Recharge & bill payments,1450780,482412481.0
arunachal-pradesh,2023,3,Financial Services,4825,11365670.0
arunachal-pradesh,2023,3,Others,5997,4813862.0
arunachal-pradesh,2023,4,Peer-to-peer payments,6678381,18554712209.0
arunachal-pradesh,2023,4,Merchant payments,6435278,5043099494.0
arunachal-pradesh,2023,4,Recharge & bill payments,1491471,515181105.0
arunachal-pradesh,2023,4,Financial Services,5573,11079378.0
arunachal-pradesh,2023,4,Others,7039,4727608.0
assam,2021,1,Peer-to-peer payments,9449096,45476079487.10464
assam,2021,1,Recharge & bill payments,6494111,2103017761.546533
assam,2021,1,Merchant payments,3459132,3657261586.2001615
assam,2021,1,Financial Services,34049,41291047.3832124
assam,2021,1,Others,75672,48814663.88782827
assam,2021,2,Peer-to-peer payments,11668399,51521387890.61253
assam,2021,2,Recharge & bill payments,9058005,2657676415.2458973
assam,2021,2,Merchant payments,4562669,4914753140.040101
assam,2021,2,Financial Services,49671,46106001.498141706
assam,2021,2,Others,94161,52549929.267157935
assam,2021,3,Peer-to-peer payments,15617592,64131823895.235466
assam,2021,3,Recharge & bill payments,10284267,3248364164.1984267
assam,2021,3,Merchant payments,7431371,8208706348.034584
assam,2021,3,Financial Services,39479,43889820.495989755
assam,2021,3,Others,131732,67715045.34317216
assam,2021,4,Peer-to-peer payments,21393962,86801625126.53499
assam,2021,4,Merchant payments,12895755,13378765005.905182
assam,2021,4,Recharge & bill payments,11484376,3842004488.3733196
assam,2021,4,Financial Services,60724,65456475.826191336
assam,2021,4,Others,185544,97116796.57575196
assam,2022,1,Peer-to-peer payments,27156085,108855352347.44865
assam,2022,1,Merchant payments,19011883,18833132506.022354
assam,2022,1,Recharge & bill payments,12474674,4424035840.366192
assam,2022,1,Financial Services,68432,73257991.39188361
assam,2022,1,Others,178812,94659207.47378007
assam,2022,2,Peer-to-peer payments,33879530,123829913105.31845
assam,2022,2,Merchant payments,28377534,24333260089.826862
assam,2022,2,Recharge & bill payments,13858113,4814695679.877083
assam,2022,2,Financial Services,50785,55549153.74320389
assam,2022,2,Others,168763,77624058.0178437
assam,2022,3,Peer-to-peer payments,37000266,127264703851.96637
assam,2022,3,Merchant payments,34935460,28789992307.161205
assam,2022,3,Recharge & bill payments,13974568,5295136932.037907
assam,2022,3,Financial Services,65066,62882386.459812224
assam,2022,3,Others,138451,76363577.27323309
assam,2022,4,Peer-to-peer payments,44828832,150693397669.18314
assam,2022,4,Merchant payments,43605784,36033810141.574844
assam,2022,4,Recharge & bill payments,15344794,5773980885.270762
assam,2022,4,Financial Services,74414,75960367.91633397
assam,2022,4,Others,127443,76370123.60102956
assam,2023,1,Merchant payments,48987048,39416860194.0
assam,2023,1,Peer-to-peer payments,48461200,166509153749.0
assam,2023,1,Recharge & bill payments,16113464,6266406177.0
assam,2023,1,Financial Services,82270,86978703.0
assam,2023,1,Others,116656,74768264.0
assam,2023,2,Merchant payments,62403711,45515248236.0
assam,2023,2,Peer-to-peer payments,57852989,182809282981.0
assam,2023,2,Recharge & bill payments,17858409,6631355080.0
assam,2023,2,Financial Services,81172,84797972.0
assam,2023,2,Others,94672,70104514.0
assam,2023,3,Merchant payments,82126315,51533166362.0
assam,2023,3,Peer-to-peer payments,66737077,185030502675.0
assam,2023,3,Recharge & bill payments,18524152,7310558505.0
assam,2023,3,Financial Services,105975,118529318.0
assam,2023,3,Others,81832,65257542.0
assam,2023,4,Merchant payments,95438754,60513904505.0
assam,2023,4,Peer-to-peer payments,79797949,216875937740.0
assam,2023,4,Recharge & bill payments,18323202,8011077428.0
assam,2023,4,Financial Services,119386,142552746.0
assam,2023,4,Others,72866,60164512.0
bihar,2021,1,Peer-to-peer payments,58566582,242013312361.31104
bihar,2021,1,Merchant payments,33959313,30171144593.369873
bihar,2021,1,Recharge & bill payments,21974086,8505455545.448764
bihar,2021,1,Financial Services,124277,112949858.25028673
bihar,2021,1,Others,308219,170787342.8481179
bihar,2021,2,Peer-to-peer payments,78694099,319758683264.15344
bihar,2021,2,Merchant payments,44686786,43458914639.77138
bihar,2021,2,Recharge & bill payments,31646149,11030849713.502428
bihar,2021,2,Financial Services,149791,116086345.91301711
bihar,2021,2,Others,426797,215721223.2386405
bihar,2021,3,Peer-to-peer payments,92785704,331514102784.2631
bihar,2021,3,Merchant payments,64094961,53849745604.9643
bihar,2021,3,Recharge & bill payments,30081746,11327303470.019915
bihar,2021,3,Financial Services,135748,130349071.61901987
bihar,2021,3,Others,572954,241260025.54569885
bihar,2021,4,Peer-to-peer payments,117340712,423665098014.2792
bihar,2021,4,Merchant payments,95992559,81729122295.53772
bihar,2021,4,Recharge & bill payments,30824177,13438634948.212643
bihar,2021,4,Financial Services,186298,173358268.82083318
bihar,2021,4,Others,783199,365400541.9114517
bihar,2022,1,Peer-to-peer payments,138085265,500024806542.69324
bihar,2022,1,Merchant payments,114892163,95507710275.50963
bihar,2022,1,Recharge & bill payments,30545266,15431605247.390364
bihar,2022,1,Financial Services,169722,148088975.22896564
bihar,2022,1,Others,698018,299484690.3236611
bihar,2022,2,Peer-to-peer payments,164119431,610448610667.7207
bihar,2022,2,Merchant payments,158289353,126423430586.42947
bihar,2022,2,Recharge & bill payments,36950622,17225668601.948982
bihar,2022,2,Financial Services,124199,116203820.91131489
bihar,2022,2,Others,661424,247541289.12967217
bihar,2022,3,Merchant payments,198273336,137873615624.72937
bihar,2022,3,Peer-to-peer payments,192304951,632747186972.1919
bihar,2022,3,Recharge & bill payments,46044353,20417791249.028316
bihar,2022,3,Financial Services,179533,161987346.1868727
bihar,2022,3,Others,565212,245905365.7791165
bihar,2022,4,Merchant payments,243777692,172924170171.63205
bihar,2022,4,Peer-to-peer payments,225487662,739870172148.0806
bihar,2022,4,Recharge & bill payments,47054083,22729599211.247635
bihar,2022,4,Financial Services,205989,199208429.5113938
bihar,2022,4,Others,559223,288999714.3604311
bihar,2023,1,Merchant payments,251601655,175053265606.0
bihar,2023,1,Peer-to-peer payments,245677870,836428049163.0
bihar,2023,1,Recharge & bill payments,49781169,27372239431.0
bihar,2023,1,Financial Services,194601,158138446.0
bihar,2023,1,Others,575900,265267298.0
bihar,2023,2,Merchant payments,330603039,214402873623.0
bihar,2023,2,Peer-to-peer payments,293616270,980139698305.0
bihar,2023,2,Recharge & bill payments,58928748,31064849666.0
bihar,2023,2,Financial Services,211722,190366037.0
bihar,2023,2,Others,573315,248957759.0
bihar,2023,3,Merchant payments,361940401,206648202575.0
bihar,2023,3,Peer-to-peer payments,311779356,908446322767.0
bihar,2023,3,Recharge & bill payments,59732275,32565513931.0
bihar,2023,3,Financial Services,270376,277782677.0
bihar,2023,3,Others,516343,215541416.0
bihar,2023,4,Merchant payments,466122317,273626740927.0
bihar,2023,4,Peer-to-peer payments,394813298,1121442567078.0
bihar,2023,4,Recharge & bill payments,62582448,39095012665.0
bihar,2023,4,Financial Services,333579,342560013.0
bihar,2023,4,Others,575632,228927732.0
chandigarh,2021,1,Merchant payments,1799072,1210594490.0981498
chandigarh,2021,1,Peer-to-peer payments,1472084,5916467167.303293
chandigarh,2021,1,Recharge & bill payments,678396,451109555.33889335
chandigarh,2021,1,Financial Services,5111,7700394.761505902
chandigarh,2021,1,Others,15574,10549252.044153867
chandigarh,2021,2,Merchant payments,1926913,1390989390.7789688
chandigarh,2021,2,Peer-to-peer payments,1663559,6541132352.922333
chandigarh,2021,2,Recharge & bill payments,806710,467698864.6672056
chandigarh,2021,2,Financial Services,5502,7394941.032842191
chandigarh,2021,2,Others,14863,10458390.53475552
chandigarh,2021,3,Merchant payments,3179506,2245390329.2047896
chandigarh,2021,3,Peer-to-peer payments,2434417,8927868098.340746
chandigarh,2021,3,Recharge & bill payments,1008585,620437997.3899603
chandigarh,2021,3,Financial Services,5700,7960844.903971832
chandigarh,2021,3,Others,21170,14225734.853836158
chandigarh,2021,4,Merchant payments,4056249,3041038519.8233976
chandigarh,2021,4,Peer-to-peer payments,2797561,10610461952.107159
chandigarh,2021,4,Recharge & bill payments,1013153,693790747.2429855
chandigarh,2021,4,Financial Services,7038,10459431.863661807
chandigarh,2021,4,Others,24902,17832859.58125159
chandigarh,2022,1,Merchant payments,4511757,3264574793.4564357
chandigarh,2022,1,Peer-to-peer payments,3012464,11150701028.605722
chandigarh,2022,1,Recharge & bill payments,1046187,731347957.2152067
chandigarh,2022,1,Financial Services,7228,13538635.562948208
chandigarh,2022,1,Others,22855,14829134.999686666
chandigarh,2022,2,Merchant payments,6136803,3919372475.5605655
chandigarh,2022,2,Peer-to-peer payments,3489382,12549248085.111443
chandigarh,2022,2,Recharge & bill payments,1119367,792957088.5933374
chandigarh,2022,2,Financial Services,6673,8943857.181076445
chandigarh,2022,2,Others,20264,12978651.924569944
chandigarh,2022,3,Merchant payments,7665907,4713972532.82215
chandigarh,2022,3,Peer-to-peer payments,4423590,14788179156.481958
chandigarh,2022,3,Recharge & bill payments,1360342,1033530639.9360826
chandigarh,2022,3,Financial Services,8868,9918740.020967592
chandigarh,2022,3,Others,19466,14156668.144691642
chandigarh,2022,4,Merchant payments,10170372,6570336079.954211
chandigarh,2022,4,Peer-to-peer payments,5951989,20013621495.89691
chandigarh,2022,4,Recharge & bill payments,1749647,1267654269.1590745
chandigarh,2022,4,Financial Services,10778,12000766.356404984
chandigarh,2022,4,Others,22054,16141955.57281622
chandigarh,2023,1,Merchant payments,6460913,3374931077.0
chandigarh,2023,1,Peer-to-peer payments,2634119,8623572416.0
chandigarh,2023,1,Recharge & bill payments,700479,803831354.0
chandigarh,2023,1,Financial Services,8163,12527258.0
chandigarh,2023,1,Others,11931,10032289.0
chandigarh,2023,2,Merchant payments,7747501,3820964178.0
chandigarh,2023,2,Peer-to-peer payments,3048793,9726960611.0
chandigarh,2023,2,Recharge & bill payments,737650,845159777.0
chandigarh,2023,2,Financial Services,8262,11723572.0
chandigarh,2023,2,Others,11481,9600612.0
chandigarh,2023,3,Merchant payments,8849667,4339437634.0
chandigarh,2023,3,Peer-to-peer payments,3410620,10182027091.0
chandigarh,2023,3,Recharge & bill payments,771020,877282807.0
chandigarh,2023,3,Financial Services,10756,19516305.0
chandigarh,2023,3,Others,10102,8519474.0
chandigarh,2023,4,Merchant payments,9052694,4771466320.0
chandigarh,2023,4,Peer-to-peer payments,3480727,10531589834.0
chandigarh,2023,4,Recharge & bill payments,725553,944249351.0
chandigarh,2023,4,Financial Services,10241,21758309.0
chandigarh,2023,4,Others,10863,12159187.0
chhattisgarh,2021,1,Peer-to-peer payments,15621154,55638916992.13896
chhattisgarh,2021,1,Merchant payments,15222763,10661449529.109669
chhattisgarh,2021,1,Recharge & bill payments,8456094,3000977538.840563
chhattisgarh,2021,1,Financial Services,37395,40387648.84021996
chhattisgarh,2021,1,Others,99031,68111552.62215017
chhattisgarh,2021,2,Peer-to-peer payments,18387345,62134058797.4359
chhattisgarh,2021,2,Merchant payments,15369311,12828590761.713423
chhattisgarh,2021,2,Recharge & bill payments,10764784,3640692364.165052
chhattisgarh,2021,2,Financial Services,40213,39620256.36433959
chhattisgarh,2021,2,Others,127767,85809079.54731184
chhattisgarh,2021,3,Merchant payments,27552743,19905616746.805294
chhattisgarh,2021,3,Peer-to-peer payments,25447410,80506858751.32883
chhattisgarh,2021,3,Recharge & bill payments,11039088,4045490947.2382197
chhattisgarh,2021,3,Financial Services,38817,48855662.40142638
chhattisgarh,2021,3,Others,159880,99286155.00295877
chhattisgarh,2021,4,Merchant payments,40526025,29283695601.229546
chhattisgarh,2021,4,Peer-to-peer payments,32799167,102177997315.68285
chhattisgarh,2021,4,Recharge & bill payments,11115444,4724827139.9519415
chhattisgarh,2021,4,Financial Services,55237,66445873.296120845
chhattisgarh,2021,4,Others,221621,146144588.65236923
chhattisgarh,2022,1,Merchant payments,48236094,33822547183.04485
chhattisgarh,2022,1,Peer-to-peer payments,37457039,118393860520.57216
chhattisgarh,2022,1,Recharge & bill payments,11466264,5442872986.10511
chhattisgarh,2022,1,Financial Services,52918,55991695.312008664
chhattisgarh,2022,1,Others,200977,131773069.80038045
chhattisgarh,2022,2,Merchant payments,61093916,41536371583.74904
chhattisgarh,2022,2,Peer-to-peer payments,42532112,133534947239.2497
chhattisgarh,2022,2,Recharge & bill payments,12737942,5949415519.837789
chhattisgarh,2022,2,Financial Services,41530,46037703.16128763
chhattisgarh,2022,2,Others,178548,114905117.7834119
chhattisgarh,2022,3,Merchant payments,84355775,50874051122.3736
chhattisgarh,2022,3,Peer-to-peer payments,57116149,161027214428.20593
chhattisgarh,2022,3,Recharge & bill payments,16538894,8069941553.075293
chhattisgarh,2022,3,Financial Services,55775,61881709.73674865
chhattisgarh,2022,3,Others,185994,128469268.59740639
chhattisgarh,2022,4,Merchant payments,97405954,60247141797.94961
chhattisgarh,2022,4,Peer-to-peer payments,63986789,183672880692.7266
chhattisgarh,2022,4,Recharge & bill payments,16324117,8376603987.152398
chhattisgarh,2022,4,Financial Services,63695,81169069.23462963
chhattisgarh,2022,4,Others,179891,141385263.4082809
chhattisgarh,2023,1,Merchant payments,115821237,68619935279.0
chhattisgarh,2023,1,Peer-to-peer payments,76752033,221082684005.0
chhattisgarh,2023,1,Recharge & bill payments,21896029,11162940453.0
chhattisgarh,2023,1,Financial Services,72038,65398770.0
chhattisgarh,2023,1,Others,207620,157977952.0
chhattisgarh,2023,2,Merchant payments,138222517,78172761996.0
chhattisgarh,2023,2,Peer-to-peer payments,86887081,243032806463.0
chhattisgarh,2023,2,Recharge & bill payments,24550623,11714283831.0
chhattisgarh,2023,2,Financial Services,77813,90235297.0
chhattisgarh,2023,2,Others,193602,146759167.0
chhattisgarh,2023,3,Merchant payments,161142673,85645642195.0
