State,Year,Quarter,District,Transaction_Count,Transaction_Amount
arunachal-pradesh,2021,3,papum pare district,710098,1995999756.3372893
arunachal-pradesh,2021,3,kurung kumey district,7417,30935383.383134913
arunachal-pradesh,2021,3,anjaw district,22621,69876730.14897071
arunachal-pradesh,2021,3,siang district,17241,58453201.45572044
arunachal-pradesh,2021,3,lower siang district,19324,46101622.757140934
arunachal-pradesh,2021,3,kra daadi district,8974,32167939.60284054
arunachal-pradesh,2021,3,changlang district,120126,319705502.42197955
arunachal-pradesh,2021,3,pakke kessang district,5061,12416386.841288097
arunachal-pradesh,2021,3,dibang valley district,2354,13284361.635290643
arunachal-pradesh,2021,3,west kameng district,209165,658232385.7409549
arunachal-pradesh,2021,3,shi yomi district,2559,17495021.72242897
arunachal-pradesh,2021,3,east siang district,128957,368061706.2429154
arunachal-pradesh,2021,3,upper subansiri district,46434,191353412.42695975
arunachal-pradesh,2021,3,east kameng district,23739,102442240.26594694
arunachal-pradesh,2021,3,lohit district,117879,275160751.4034922
arunachal-pradesh,2021,3,lepa rada district,20756,72378628.44705966
arunachal-pradesh,2021,3,tawang district,89052,365404078.3528414
arunachal-pradesh,2021,3,namsai district,79292,177380632.18278244
arunachal-pradesh,2021,4,lower dibang valley district,65302,174980099.83925235
arunachal-pradesh,2021,4,lower subansiri district,60146,199366119.13556093
arunachal-pradesh,2021,4,longding district,37096,125754642.94209707
arunachal-pradesh,2021,4,west siang district,79050,267978346.9418527
arunachal-pradesh,2021,4,kamle district,8517,31862943.48592616
arunachal-pradesh,2021,4,upper siang district,41167,155266317.84142125
arunachal-pradesh,2021,4,tirap district,52675,172835892.68512428
arunachal-pradesh,2021,4,papum pare district,919925,2435796597.1781564
arunachal-pradesh,2021,4,kurung kumey district,8467,36028643.15543166
arunachal-pradesh,2021,4,anjaw district,24083,77313027.11673045
arunachal-pradesh,2021,4,siang district,22785,72065716.16878249
arunachal-pradesh,2021,4,lower siang district,25424,69995156.90875632
arunachal-pradesh,2021,4,kra daadi district,10986,42553945.301929176
arunachal-pradesh,2021,4,changlang district,147432,403255246.4023236
arunachal-pradesh,2021,4,pakke kessang district,6343,15848508.20917535
arunachal-pradesh,2021,4,dibang valley district,2711,14284034.399703257
arunachal-pradesh,2021,4,west kameng district,247346,765859269.2953706
arunachal-pradesh,2021,4,shi yomi district,3066,19610548.431270048
arunachal-pradesh,2021,4,east siang district,169617,450185173.037876
arunachal-pradesh,2021,4,upper subansiri district,54298,226652835.3581027
arunachal-pradesh,2021,4,east kameng district,27988,122366463.65672666
arunachal-pradesh,2021,4,lohit district,142772,328942905.2553121
arunachal-pradesh,2021,4,lepa rada district,28633,101798549.88186258
arunachal-pradesh,2021,4,tawang district,99575,412396002.3197621
arunachal-pradesh,2021,4,namsai district,105194,220513367.66283622
arunachal-pradesh,2022,1,lower dibang valley district,83531,235243185.52128848
arunachal-pradesh,2022,1,lower subansiri district,73100,239825149.91154164
arunachal-pradesh,2022,1,longding district,43533,138915391.14290744
arunachal-pradesh,2022,1,west siang district,92331,315562272.5888671
arunachal-pradesh,2022,1,kamle district,11978,39224415.796201825
arunachal-pradesh,2022,1,upper siang district,43428,156487414.60212946
arunachal-pradesh,2022,1,tirap district,59514,181768733.7198426
arunachal-pradesh,2022,1,papum pare district,1163726,2909248438.629796
arunachal-pradesh,2022,1,kurung kumey district,10401,46127063.32319221
arunachal-pradesh,2022,1,anjaw district,21058,70149358.0827275
arunachal-pradesh,2022,1,siang district,23793,80549877.87323424
arunachal-pradesh,2022,1,lower siang district,29595,80036191.45641762
arunachal-pradesh,2022,1,kra daadi district,14110,54761962.54116271
arunachal-pradesh,2022,1,changlang district,171494,490549428.7793704
arunachal-pradesh,2022,1,pakke kessang district,8817,26463907.43466976
