State,Year,Quarter,District,RegisteredUser
andhra-pradesh,2023,2,east godavari district,3082893
andhra-pradesh,2023,2,srikakulam district,1317771
andhra-pradesh,2023,2,visakhapatnam district,3877504
andhra-pradesh,2023,2,prakasam district,1792637
andhra-pradesh,2023,2,anantapur district,2323796
andhra-pradesh,2023,2,kurnool district,2202517
andhra-pradesh,2023,2,guntur district,3014655
andhra-pradesh,2023,2,krishna district,3054956
andhra-pradesh,2023,2,spsr nellore district,1811781
andhra-pradesh,2023,2,vizianagaram district,1141578
andhra-pradesh,2023,2,ysr district,1694843
andhra-pradesh,2023,2,west godavari district,2059880
andhra-pradesh,2023,2,chittoor district,2865250
andhra-pradesh,2023,3,east godavari district,3211557
andhra-pradesh,2023,3,srikakulam district,1375950
andhra-pradesh,2023,3,visakhapatnam district,4035323
andhra-pradesh,2023,3,prakasam district,1868997
andhra-pradesh,2023,3,anantapur district,2421293
andhra-pradesh,2023,3,kurnool district,2295754
andhra-pradesh,2023,3,guntur district,3137289
andhra-pradesh,2023,3,krishna district,3177643
andhra-pradesh,2023,3,spsr nellore district,1887005
andhra-pradesh,2023,3,vizianagaram district,1190571
andhra-pradesh,2023,3,ysr district,1764648
andhra-pradesh,2023,3,west godavari district,2146530
andhra-pradesh,2023,3,chittoor district,2981337
andhra-pradesh,2023,4,east godavari district,3329036
andhra-pradesh,2023,4,srikakulam district,1430226
andhra-pradesh,2023,4,visakhapatnam district,4180797
andhra-pradesh,2023,4,prakasam district,1939979
andhra-pradesh,2023,4,anantapur district,2512744
andhra-pradesh,2023,4,kurnool district,2383042
andhra-pradesh,2023,4,guntur district,3251121
andhra-pradesh,2023,4,krishna district,3291814
andhra-pradesh,2023,4,spsr nellore district,1956706
andhra-pradesh,2023,4,vizianagaram district,1236735
andhra-pradesh,2023,4,ysr district,1829864
andhra-pradesh,2023,4,west godavari district,2227243
andhra-pradesh,2023,4,chittoor district,3089391
arunachal-pradesh,2021,1,lower subansiri district,8044
arunachal-pradesh,2021,1,tirap district,7376
arunachal-pradesh,2021,1,papum pare district,84715
arunachal-pradesh,2021,1,anjaw district,2660
arunachal-pradesh,2021,1,lower siang district,3594
arunachal-pradesh,2021,1,dibang valley district,478
arunachal-pradesh,2021,1,west kameng district,21027
arunachal-pradesh,2021,1,shi yomi district,390
arunachal-pradesh,2021,1,east kameng district,3990
arunachal-pradesh,2021,1,lohit district,14231
arunachal-pradesh,2021,1,lepa rada district,3008
arunachal-pradesh,2021,1,lower dibang valley district,8402
arunachal-pradesh,2021,1,longding district,4117
arunachal-pradesh,2021,1,west siang district,10836
arunachal-pradesh,2021,1,kamle district,814
arunachal-pradesh,2021,1,upper siang district,3847
arunachal-pradesh,2021,1,kurung kumey district,1287
arunachal-pradesh,2021,1,siang district,2878
arunachal-pradesh,2021,1,kra daadi district,1244
arunachal-pradesh,2021,1,changlang district,19716
arunachal-pradesh,2021,1,pakke kessang district,647
arunachal-pradesh,2021,1,east siang district,19342
arunachal-pradesh,2021,1,upper subansiri district,6577
arunachal-pradesh,2021,1,tawang district,11778
arunachal-pradesh,2021,1,namsai district,10242
arunachal-pradesh,2021,2,lower subansiri district,8685
arunachal-pradesh,2021,2,tirap district,7955
arunachal-pradesh,2021,2,papum pare district,90871
arunachal-pradesh,2021,2,anjaw district,2866
arunachal-pradesh,2021,2,lower siang district,3872
arunachal-pradesh,2021,2,dibang valley district,516
arunachal-pradesh,2021,2,west kameng district,22625
arunachal-pradesh,2021,2,shi yomi district,430
arunachal-pradesh,2021,2,east kameng district,4314
arunachal-pradesh,2021,2,lohit district,15360
arunachal-pradesh,2021,2,lepa rada district,3249
arunachal-pradesh,2021,2,lower dibang valley district,9094
arunachal-pradesh,2021,2,longding district,4456
arunachal-pradesh,2021,2,west siang district,11657
arunachal-pradesh,2021,2,kamle district,883
arunachal-pradesh,2021,2,upper siang district,4145
arunachal-pradesh,2021,2,kurung kumey district,1398
arunachal-pradesh,2021,2,siang district,3116
arunachal-pradesh,2021,2,kra daadi district,1353
arunachal-pradesh,2021,2,changlang district,21404
arunachal-pradesh,2021,2,pakke kessang district,702
arunachal-pradesh,2021,2,east siang district,20817
arunachal-pradesh,2021,2,upper subansiri district,7057
arunachal-pradesh,2021,2,tawang district,12636
arunachal-pradesh,2021,2,namsai district,11111
arunachal-pradesh,2021,3,lower subansiri district,9451
arunachal-pradesh,2021,3,tirap district,8665
arunachal-pradesh,2021,3,papum pare district,97854
arunachal-pradesh,2021,3,anjaw district,3099
arunachal-pradesh,2021,3,lower siang district,4229
arunachal-pradesh,2021,3,dibang valley district,571
arunachal-pradesh,2021,3,west kameng district,24489
arunachal-pradesh,2021,3,shi yomi district,473
arunachal-pradesh,2021,3,east kameng district,4671
arunachal-pradesh,2021,3,lohit district,16680
arunachal-pradesh,2021,3,lepa rada district,3527
arunachal-pradesh,2021,3,lower dibang valley district,9920
arunachal-pradesh,2021,3,longding district,4890
arunachal-pradesh,2021,3,west siang district,12616
arunachal-pradesh,2021,3,kamle district,974
arunachal-pradesh,2021,3,upper siang district,4506
